#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
 -1.489187010000e+02   5.991864620000e+02   2.456451372100e+06   8.729386570000e-04   1.163307200000e-01   5.000000000000e-02   2.121517620981e-02   3.618786668202e+00
 -2.331424710000e+02   4.988245850000e+02   2.456451372100e+06   8.729386570000e-04  -1.338067000000e-02   5.000000000000e-02   1.298113819212e-02   2.779779724632e-01
 -1.568550420000e+02   1.993759460000e+02   2.456451372100e+06   8.729386570000e-04   2.056110200000e-01   5.000000000000e-02   5.243168398738e-02   9.385563592507e+00
 -4.731380920000e+02   2.466964110000e+02   2.456451372100e+06   8.729386570000e-04   2.112428100000e-01   5.000000000000e-02   1.448954828084e-02   1.548473839885e+01
  1.317465400000e+01   2.638529050000e+02   2.456451372100e+06   8.729386570000e-04   2.085228300000e-01   5.000000000000e-02   7.316401600838e-02   7.328803410088e+00
 -3.910449220000e+02   5.061101070000e+02   2.456451372100e+06   8.729386570000e-04   1.644116000000e-02   5.000000000000e-02   2.034636400640e-02   6.100247332641e-03
 -3.192938840000e+02   5.030075380000e+02   2.456451372100e+06   8.729386570000e-04   1.299319400000e-01   5.000000000000e-02   2.381064742804e-02   4.504691494858e+00
 -2.830609740000e+02   4.676807560000e+02   2.456451372100e+06   8.729386570000e-04   9.987655000000e-02   5.000000000000e-02   1.315300818533e-02   3.008389081953e+00
 -2.533759610000e+02   4.938318480000e+02   2.456451372100e+06   8.729386570000e-04   1.042009600000e-01   5.000000000000e-02   1.478100754321e-02   3.198371158950e+00
 -2.734660030000e+02   3.705159610000e+02   2.456451372100e+06   8.729386570000e-04   1.670833400000e-01   5.000000000000e-02   6.464976817369e-03   1.031930343659e+01
 -4.623414310000e+02   6.431977540000e+02   2.456451372100e+06   8.729386570000e-04   7.678070000000e-03   5.000000000000e-02   1.122216708609e-04   2.289682437581e-02
 -3.977164000000e+02   4.191529080000e+01   2.456451372100e+06   8.729386570000e-04   1.441147300000e-01   5.000000000000e-02   3.945756703615e-02   4.381248703857e+00
 -2.710382080000e+02   5.143582150000e+02   2.456451372100e+06   8.729386570000e-04   8.282357000000e-02   5.000000000000e-02   2.121067047119e-02   1.518459755339e+00
 -3.328360600000e+02   4.669348450000e+02   2.456451372100e+06   8.729386570000e-04   4.985315000000e-02   5.000000000000e-02   2.163775265217e-02   3.184434589984e-01
 -3.724713750000e+02   5.890518800000e+02   2.456451372100e+06   8.729386570000e-04   1.813999700000e-01   5.000000000000e-02   7.372639141977e-03   1.211420475423e+01
 -7.049387820000e+02   1.668777160000e+02   2.456451372100e+06   8.729386570000e-04  -4.610433000000e-02   5.000000000000e-02   2.483990683686e-04   8.594301968342e-01
 -2.875654300000e+02   1.439084320000e+02   2.456451372100e+06   8.729386570000e-04   1.867835500000e-01   5.000000000000e-02   1.048937886953e-01   2.682373202614e+00
 -2.567935790000e+02   3.822847900000e+02   2.456451372100e+06   8.729386570000e-04   3.316816000000e-02   5.000000000000e-02   7.223174907267e-03   2.692569005849e-01
 -5.742169190000e+02   3.485046390000e+02   2.456451372100e+06   8.729386570000e-04   1.599299200000e-01   5.000000000000e-02   9.737079963088e-03   9.023155679341e+00
  3.853413010000e+01   6.659482420000e+02   2.456451372100e+06   8.729386570000e-04   4.566010000000e-02   5.000000000000e-02   1.337943412364e-02   4.168165557686e-01
 -6.150814210000e+02   1.006749690000e+03   2.456451372100e+06   8.729386570000e-04   1.642029900000e-01   5.000000000000e-02   1.273817731999e-03   1.061836607037e+01
 -1.402045750000e+02   7.734262080000e+02   2.456451372100e+06   8.729386570000e-04   1.072184700000e-01   5.000000000000e-02   4.663864456234e-05   4.594320574431e+00
 -2.793244320000e+02   2.356210330000e+02   2.456451372100e+06   8.729386570000e-04   1.384974000000e-01   5.000000000000e-02   9.419482946396e-02   7.850871024404e-01
 -7.332518920000e+02  -2.500281830000e+02   2.456451372100e+06   8.729386570000e-04   1.714876900000e-01   5.000000000000e-02   3.270302899182e-03   1.131883572921e+01
 -1.869239810000e+02   3.515448610000e+02   2.456451372100e+06   8.729386570000e-04   1.478000400000e-01   5.000000000000e-02   7.712429761887e-02   1.998024224450e+00
 -3.191127320000e+02   4.283687130000e+02   2.456451372100e+06   8.729386570000e-04   1.025413900000e-01   5.000000000000e-02   1.038137450814e-02   3.397387382184e+00
 -6.634072300000e+00   4.300524900000e+02   2.456451372100e+06   8.729386570000e-04   8.387495000000e-02   5.000000000000e-02   3.352886810899e-02   1.013891184711e+00
 -3.866352230000e+02   8.146122440000e+02   2.456451372100e+06   8.729386570000e-04   9.187014000000e-02   5.000000000000e-02   3.200993814971e-04   3.352563974900e+00
 -3.212541200000e+02   3.869923400000e+02   2.456451372100e+06   8.729386570000e-04   1.982967600000e-01   5.000000000000e-02   1.853941706941e-03   1.543591234357e+01
 -3.088249820000e+02   3.188921810000e+02   2.456451372100e+06   8.729386570000e-04   1.527003300000e-01   5.000000000000e-02   1.336324214935e-02   7.765929620280e+00
 -8.859895320000e+01   9.602463380000e+02   2.456451372100e+06   8.729386570000e-04   1.373154100000e-01   5.000000000000e-02   2.288741961820e-05   7.539694702594e+00
 -5.109898070000e+02   2.799699400000e+02   2.456451372100e+06   8.729386570000e-04  -9.119074000000e-02   5.000000000000e-02   2.501087635756e-02   5.401126257643e+00
 -4.682540280000e+02   4.502457280000e+02   2.456451372100e+06   8.729386570000e-04  -3.362388000000e-02   5.000000000000e-02   1.743590272963e-02   1.042840564959e+00
 -4.676207280000e+02   2.974602660000e+02   2.456451372100e+06   8.729386570000e-04  -1.096284500000e-01   5.000000000000e-02   2.044603601098e-02   6.767748764408e+00
 -1.100724370000e+03   3.634558410000e+02   2.456451372100e+06   8.729386570000e-04   1.974794000000e-02   5.000000000000e-02   8.841671660775e-05   1.545987422921e-01
 -3.119505920000e+02   2.784204410000e+02   2.456451372100e+06   8.729386570000e-04   1.860132000000e-02   5.000000000000e-02   3.392778709531e-02   9.396023744943e-02
 -5.964921260000e+02   2.085884860000e+02   2.456451372100e+06   8.729386570000e-04  -3.657295000000e-02   5.000000000000e-02   1.840683631599e-02   1.209110761341e+00
 -4.650883480000e+02   1.992262570000e+02   2.456451372100e+06   8.729386570000e-04  -4.454542000000e-02   5.000000000000e-02   5.521942395717e-03   1.002696310906e+00
  4.132913210000e+02  -6.122415770000e+02   2.456451372100e+06   8.729386570000e-04  -8.872000000000e-04   5.000000000000e-02   1.459059421904e-03   2.201973309950e-03
 -3.444735110000e+02   4.653350520000e+02   2.456451372100e+06   8.729386570000e-04  -6.408747000000e-02   5.000000000000e-02   2.288770861924e-02   3.025872678339e+00
 -4.286972960000e+02   3.649731750000e+02   2.456451372100e+06   8.729386570000e-04  -8.841240000000e-02   5.000000000000e-02   2.197250351310e-02   4.873930769438e+00
 -3.524100040000e+02   6.552430730000e+01   2.456451372100e+06   8.729386570000e-04  -4.544660000000e-02   5.000000000000e-02   8.183968812227e-02   6.480719657578e+00
 -6.686929930000e+02   1.128448490000e+02   2.456451372100e+06   8.729386570000e-04   1.194525000000e-02   5.000000000000e-02   5.995854269713e-03   1.415812382222e-02
 -1.823803560000e+02   1.300011440000e+02   2.456451372100e+06   8.729386570000e-04  -4.088853000000e-02   5.000000000000e-02   6.569015793502e-03   9.008874610969e-01
 -5.865997310000e+02   3.722587890000e+02   2.456451372100e+06   8.729386570000e-04   1.596550000000e-03   5.000000000000e-02   4.954696632922e-03   4.510859523281e-03
 -5.148486940000e+02   3.691561580000e+02   2.456451372100e+06   8.729386570000e-04  -9.095603000000e-02   5.000000000000e-02   2.010856755078e-02   4.934137931647e+00
 -4.786157840000e+02   3.338293760000e+02   2.456451372100e+06   8.729386570000e-04  -4.131658000000e-02   5.000000000000e-02   2.523487433791e-02   1.771638429796e+00
 -4.489307860000e+02   3.599804080000e+02   2.456451372100e+06   8.729386570000e-04  -7.726888000000e-02   5.000000000000e-02   2.438881248236e-02   4.133714576335e+00
 -4.690208740000e+02   2.366645200000e+02   2.456451372100e+06   8.729386570000e-04  -7.735995000000e-02   5.000000000000e-02   1.171203050762e-02   3.173527084620e+00
 -6.578961790000e+02   5.093464050000e+02   2.456451372100e+06   8.729386570000e-04  -1.625976000000e-01   5.000000000000e-02   1.532459631562e-03   1.077547058986e+01
 -5.932713620000e+02  -9.193630220000e+01   2.456451372100e+06   8.729386570000e-04  -4.657630000000e-02   5.000000000000e-02   2.648091502488e-02   2.134942666876e+00
 -4.665930180000e+02   3.805067750000e+02   2.456451372100e+06   8.729386570000e-04  -9.385159000000e-02   5.000000000000e-02   2.536790631711e-02   5.685315320843e+00
 -5.283908690000e+02   3.330834660000e+02   2.456451372100e+06   8.729386570000e-04  -1.636087600000e-01   5.000000000000e-02   2.153433859348e-02   1.371118678272e+01
 -5.680261230000e+02   4.552005000000e+02   2.456451372100e+06   8.729386570000e-04  -5.032512000000e-02   5.000000000000e-02   1.259069889784e-03   1.064371458634e+00
 -9.004935910000e+02   3.302622600000e+01   2.456451372100e+06   8.729386570000e-04  -8.870880000000e-02   5.000000000000e-02   2.604631939903e-03   3.335257141057e+00
 -4.831204220000e+02   1.005670450000e+01   2.456451372100e+06   8.729386570000e-04  -5.770679000000e-02   5.000000000000e-02   1.129207783379e-03   1.384669854066e+00
