 Niter                routsh                   vsh                evelsh                tempsh                denssh                vgamma     nlc   nvis2     ncp  nt3amp nvisamp nvisphi    nsed    nspe  ntotal          chi2lc        chi2vis2          chi2cp       chi2t3amp      chi2visamp      chi2visphi         chi2sed         chi2spe       chi2total        r_chi2lc      r_chi2vis2        r_chi2cp     r_chi2t3amp    r_chi2visamp    r_chi2visphi       r_chi2sed       r_chi2spe     r_chi2total
    46      25.4236527061994     403.7965243104993     1.087715415450965     9698.473887823366 1.871832304653629e-13     71.82072774826801       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.10261       188.10261               0               0               0               0               0               0               0      0.94051306      0.94051306
    47     27.13362710447549     401.2658316100644     1.086682980819721     9705.750696704796 1.940454332386816e-13     71.67938530403929       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       186.25986       186.25986               0               0               0               0               0               0               0      0.93129931      0.93129931
    48     27.72319563871715     400.7983766022477      1.09973644334375     9764.455919177248 2.002260003164249e-13     71.52455852574687       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       186.65303       186.65303               0               0               0               0               0               0               0      0.93326514      0.93326514
    49     23.36271119016777     388.4752662269525     1.077743996981178     9622.300258554375 1.886290052788197e-13     73.42046865276849       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       192.78327       192.78327               0               0               0               0               0               0               0      0.96391634      0.96391634
    50      27.6487737266748     405.7887701760806     1.074791267929733     9665.785583345294 1.887849290136772e-13     71.30947688314038       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       187.26919       187.26919               0               0               0               0               0               0               0      0.93634595      0.93634595
    51     26.27800647507924     413.2333924752691     1.098719824496194     9386.220594164715 1.861540668995996e-13     71.69975402669245       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.10804       188.10804               0               0               0               0               0               0               0      0.94054022      0.94054022
    52     29.11602763284885     413.8270584739494     1.123924003319769     9710.806277121068 1.921192689888269e-13     67.14342222051502       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.95574       188.95574               0               0               0               0               0               0               0      0.94477869      0.94477869
    53     25.53501878817301     400.8501487892256     1.068119300789436      9547.75410686804 1.868358425898326e-13     73.33314508814672       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       187.42054       187.42054               0               0               0               0               0               0               0      0.93710268      0.93710268
    54     28.27176929448716     407.8718123990906     1.113505721059532      9809.67957091059 1.904845236516669e-13     72.06819563863581       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       185.98067       185.98067               0               0               0               0               0               0               0      0.92990333      0.92990333
    55     29.77117377634309     410.7715406365417     1.139267663163284     9998.101309384563 1.923562629810234e-13     72.50879558722168       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       186.44162       186.44162               0               0               0               0               0               0               0      0.93220809      0.93220809
    56     27.93131075665255     394.9235824892842     1.081696365603147     9997.448062957144 1.925149873290437e-13     71.67825122405522       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.00566       188.00566               0               0               0               0               0               0               0      0.94002829      0.94002829
    57     29.62155054235011     401.4028033803155     1.090694424699105     9784.852827676415  1.93263076051174e-13     71.50978532774204       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       185.36867       185.36867               0               0               0               0               0               0               0      0.92684335      0.92684335
    58     31.72049946042547     400.2059429152236     1.092183929323175      9828.04229760294 1.963029988440795e-13     71.35431411747905       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       185.12252       185.12252               0               0               0               0               0               0               0       0.9256126       0.9256126
    59      28.3769553931546     412.0365320101771     1.100209329120264      9429.41006409124 1.891939896925052e-13     71.54428281642946       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        187.3352        187.3352               0               0               0               0               0               0               0      0.93667601      0.93667601
    60     27.61377118061132      404.441841691255     1.068063625431982     9605.245314127473 1.932093686167722e-13     73.83984819261073       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       187.76402       187.76402               0               0               0               0               0               0               0       0.9388201       0.9388201
    61     28.36477535154197      404.783838629338     1.099841319544475     9693.982922816987 1.898072449492246e-13     70.90227586566229       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       186.27941       186.27941               0               0               0               0               0               0               0      0.93139707      0.93139707
    62     31.63711465541348     409.8007604574326     1.120952215142864     9829.796271622574  1.96037197206779e-13     69.61949845364867       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       185.04783       185.04783               0               0               0               0               0               0               0      0.92523915      0.92523915
    63     34.68816258903372     414.2760662915361     1.147368672319578     9970.817353999841 2.006378745152522e-13     67.76267513639965       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       184.59541       184.59541               0               0               0               0               0               0               0      0.92297704      0.92297704
