#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.083004020000e-06   7.440721720000e-01   3.098667580000e-02   7.758758664131e-01   1.053428750484e+00
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.125807010000e-06   7.670727800000e-01   8.309832560000e-02   7.629812955856e-01   2.424249174088e-03
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.218541830000e-06   7.533600520000e-01   4.153496270000e-02   7.573146224022e-01   9.065066066165e-03
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.224193480000e-06   8.351220080000e-01   3.636126350000e-02   7.596704363823e-01   4.305847544623e+00
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.245496840000e-06   8.447213030000e-01   2.999649100000e-02   7.635823488235e-01   7.316744735771e+00
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.222446000000e-06   8.561173080000e-01   4.045431550000e-02   7.638038396835e-01   5.207154000478e+00
 -1.163820580000e+02  -5.180516260000e+01   2.458656681867e+06   2.238179500000e-06   8.385863430000e-01   3.254758970000e-02   7.673852443695e-01   4.785592604320e+00
 -1.162261660000e+02  -5.005728510000e+01   2.458656687623e+06   2.240860760000e-06   8.340817760000e-01   2.974649000000e-02   7.701968550682e-01   4.612381993988e+00
 -1.145243060000e+02  -4.430695150000e+01   2.458656706704e+06   2.199863170000e-06   7.499845850000e-01   5.308162490000e-02   7.940604686737e-01   6.894672453867e-01
 -1.135593210000e+02  -4.231741330000e+01   2.458656713386e+06   2.187501430000e-06   7.760558650000e-01   4.685824350000e-02   7.963764071465e-01   1.880609265643e-01
 -1.008717930000e+02  -7.711610850000e+01   2.458656594941e+06   1.993783000000e-06   6.916468450000e-01   3.734293990000e-02   7.884488701820e-01   6.719730799800e+00
 -1.036101810000e+02  -7.502642750000e+01   2.458656602753e+06   2.031846520000e-06   7.086641910000e-01   4.088576510000e-02   7.703090310097e-01   2.273260476307e+00
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.106915560000e-06   7.502025720000e-01   1.595439270000e-02   7.610168457031e-01   4.594456660534e-01
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.127700200000e-06   7.521390900000e-01   5.891921920000e-02   7.649967670441e-01   4.762237606925e-02
 -1.105319480000e+02  -6.816999080000e+01   2.458656627197e+06   2.155227930000e-06   7.859089060000e-01   2.118231720000e-02   7.685014605522e-01   6.753410539615e-01
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.176536470000e-06   7.890118710000e-01   2.770018950000e-02   7.723877429962e-01   3.601739246691e-01
